FAFB DN name,MANC DN name,source
DNge041,DNxl113,BANC v514
DNge042,DNxl073,BANC v514
DNge043,,
DNge044,,
DNge045,DNut062,BANC v514
DNge046,,
DNge047,DNxn162,BANC v514
DNge048,DNxl119,BANC v514
DNge049,DNxl130,BANC v514
DNge050,DNxl049,BANC v514
DNge051,,
DNge052,DNxl070,BANC v514
DNge053,DNxn164,BANC v514
DNge054,DNxl131,BANC v514
DNge055,DNxl086,BANC v514
DNge055,DNxl116,BANC v514
DNge056,DNfl033,BANC v514
DNge057,DNfl020,BANC v514
DNge058,DNxl091,BANC v514
DNge059,,
DNge060,DNxl107,BANC v514
DNge060,DNxn170,BANC v514
DNge062,DNxl079,BANC v514
DNge063,DNxl127,BANC v514
DNge064,DNxl100,BANC v514
DNge065,DNfl038,BANC v514
DNge067,DNxl104,BANC v514
DNge068,DNfl041,BANC v514
DNge069,,
DNge070,DNnt015,BANC v514
DNge071,DNnt011,BANC v514
DNge072,DNnt017,BANC v514
DNge073,DNxl049,BANC v514
DNge073,DNxl129,BANC v514
DNge075,DNxl101,BANC v514
DNge076,DNfl039,BANC v514
DNge077,DNfl025,BANC v514
DNge078,,
DNge079,DNxl080,BANC v514
DNge080,DNxl078,BANC v514
DNge081,DNxl087,BANC v514
DNge081,DNfl026,BANC v514
DNge082,DNxl068,BANC v514
DNge083,DNxl112,BANC v514
DNge084,DNxn121,BANC v514
DNge085,DNnt011,BANC v514
DNge085,DNxn109,BANC v514
DNge086,DNnt017,BANC v514
DNge087,DNnt010,BANC v514
DNge088,,
DNge089,DNit003,BANC v514
DNge090,,
DNge091,DNut054,BANC v514
DNge091,DNxn109,BANC v514
DNge091,DNxn114,BANC v514
DNge091,DNxn117,BANC v514
DNge091,DNxn144,BANC v514
DNge091,DNut048,BANC v514
DNge092,DNxn109,BANC v514
DNge093,,
DNge094,DNxn144,BANC v514
DNge094,DNit003,BANC v514
DNge094,DNxn107,BANC v514
DNge094,DNxn115,BANC v514
DNge094,DNxn105,BANC v514
DNge095,DNut054,BANC v514
DNge096,DNfl027,BANC v514
DNge096,DNit008,BANC v514
DNge097,,
DNge098,,
DNge099,DNxn154,BANC v514
DNge100,,
DNge101,,
DNge102,DNxn165,BANC v514
DNge103,DNxl123,BANC v514
DNge104,DNxl132,BANC v514
DNge105,DNfl035,BANC v514
